"Category","All"
"Adamantoise",570213
"Balmung",305375
"Behemoth",565189
"Brynhildr",704529
"Cactuar",481612
"Coeurl",630744
"Diabolos",694615
"Excalibur",497717
"Exodus",688048
"Faerie",514471
"Famfrit",713173
"Gilgamesh",432834
"Goblin",679971
"Halicarnassus",84582
"Hyperion",515618
"Jenova",520010
"Lamia",668692
"Leviathan",506691
"Maduin",55906
"Malboro",733972
"Marilith",60699
"Mateus",539707
"Midgardsormr",599511
"Sargatanas",551059
"Seraph",103399
"Siren",623172
"Ultros",648452
"Zalera",689964